SourceVertexName,SourceVertexLabel,TargetVertexName,TargetVertexLabel,EdgeWeight
Athens,city,Europe,continent,31
Berlin,city,#Gambia,topic,1
Paris,city,#4GBox,topic,1
New York,city,Makonnen,topic,1
Les Ivoiriens,topic,Europe,continent,1
#FCGBTFC,topic,Europe,continent,1
London,city,#NHCPerfume,topic,1
London,city,Melania Trump,topic,1
Athens,city,Βαλαντη,topic,1
Kincora,topic,Europe,continent,1
#APB2017,topic,Europe,continent,1
#takeshiscastle,topic,Europe,continent,1
Leopards,topic,Europe,continent,1
Berlin,city,#Wannseekonferenz,topic,1
Paris,city,#APB2017,topic,1
Paris,city,#AusOpen,topic,1
Berlin,city,#WhoseMuseum,topic,1
Paris,city,Leopards,topic,1
New York,city,Zach Orr,topic,1
#NHCPerfume,topic,Europe,continent,2
New York,city,#USofScience,topic,1
Athens,city,Schaeuble,topic,1
Ουασινγκτον,topic,Europe,continent,1
#DisruptJ20,topic,America],continent,1
Paris,city,#BoulogneBillancourt,topic,1
Athens,city,#Panathinaikos,topic,1
Berlin,city,#wef17,topic,1
London,city,#buildbridgesnotwalls,topic,1
Kellyanne Conway,topic,Europe,continent,1
Berlin,city,#EM2024,topic,1
#PenguinAwarenessDay,topic,America],continent,1
Athens,city,Ανθυπατος Μουλοπουλος,topic,1
Μελανια,topic,Europe,continent,1
#ThankYouObama,topic,Europe,continent,1
#WhoseMuseum,topic,Europe,continent,1
#FCMMHSC,topic,Europe,continent,1
London,city,Kellyanne Conway,topic,1
#USofScience,topic,America],continent,1
Schaeuble,topic,Europe,continent,1
Athens,city,Μελανια,topic,1
#Kleinheisler,topic,Europe,continent,1
Begovic,topic,Europe,continent,1
Berlin,city,#NEVERSAYGOODBYE2NE1,topic,1
#Panathinaikos,topic,Europe,continent,1
Cadore,topic,Europe,continent,1
Berlin,city,#Kleinheisler,topic,1
Βαλαντη,topic,Europe,continent,1
London,city,First Lady,topic,1
London,city,#Inauguration,topic,1
#tbBeetches,topic,Europe,continent,1
Berlin,city,#FridayFeeling,topic,1
London,city,#IFindItKindOfSad,topic,1
Athens,city,Γιακουματος,topic,1
#TiersLieuxPhD,topic,Europe,continent,1
