VertexName,VertexLabel,posX,posY
#4GBox,topic,1310.0929,1543.73999
#AFCON2017,topic,1117.55151,1431.02075
#APB2017,topic,1356.49182,1795.74695
#ASMFCL,topic,1537.6947,1533.91821
#AusOpen,topic,1192.51111,1276.39148
#BoulogneBillancourt,topic,1406.00757,1548.33887
#Bundestag,topic,1423.81091,538.215454
#CIVRDC,topic,1308.18445,1640.85303
#CedricHerrou,topic,1343.92383,1715.28259
#DisruptJ20,topic,864.713806,686.053223
#EM2024,topic,1198.84521,631.522644
#EULCS,topic,1339.90076,321.199158
#F95SCP,topic,1263.66187,643.679688
#FCATSG,topic,1302.57092,409.392975
#FCGBTFC,topic,1513.0426,1451.05481
#FCMMHSC,topic,1498.48425,1683.10938
#FCNPSG,topic,1135.69055,1658.17395
#FNBPAO,topic,1603.34937,1223.87158
#FineWomenFriday,topic,247.584625,930.354736
#FlashbackFriday,topic,773.632629,1005.95642
#Frauentausch,topic,1569.88208,576.339233
#FridayFeeling,topic,1200.65601,377.410889
#GERCRO,topic,1286.13257,969.750366
#Gambia,topic,1153.14624,405.362
#GruenenWoche,topic,1429.98547,388.160278
#Harburg,topic,1126.94666,324.900299
#HouseOfCards,topic,845.178101,1085.27454
#Hocke,topic,1316.73242,199.990646
#IFindItKindOfSad,topic,772.78064,896.799988
#Illner,topic,1526.67725,628.720642
#InaugurationDay,topic,1745.81494,1359.77197
#Inauguration,topic,923.206299,892.153809
#KiKaDi,topic,1484.31067,1558.58594
#Kleinheisler,topic,1263.91772,211.812485
#Koblenz,topic,1482.1532,364.386414
#Lanz,topic,1498.31165,280.630127
#LiveAtFive,topic,1084.2002,842.21698
#London,topic,1080.36108,1355.31091
#LyonOM,topic,1458.83154,1734.21973
#M05KOE,topic,1572.91748,413.234253
#MARTOG,topic,1473.75684,1372.96289
#Melbourne,topic,1323.66553,718.772705
#MourningInAmerica,topic,313.546448,629.726257
#MyPersonalWorldRecord,topic,290.883667,1092.93335
#NEVERSAYGOODBYE2NE1,topic,918.072021,935.267578
#NHCPerfume,topic,1167.60718,1367.04468
#NO2017,topic,1411.24353,1374.20789
#NationalCheeseLoversDay,topic,794.525452,826.098938
#NewMusicFriday,topic,783.533508,952.419312
#PAOKLEV,topic,1649.98694,1145.88721
#Palmyra,topic,1405.01062,768.398499
#Panathinaikos,topic,1789.48645,1175.3739
#PenguinAwarenessDay,topic,199.697769,790.111938
#Plattner,topic,1395.17932,654.693909
